canonical_name,place_type,classification,address,locality,province,postal_code,source_label,source_url,verification_status,notes
Salt Spring Chapter-Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Salt Spring Chapter-Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Sea to Sky Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
South Okanagan Similkameen Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Sparwood Health Centre.,organization,physical_place,570 Pine Avenue,Sparwood,BC,V0B 2G0,Interior Health location page,https://www.interiorhealth.ca/locations/sparwood-health-centre,verified_official,Punctuation variant of Sparwood Health Centre.
Sph General Practice Society,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Sunshine Coast Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Sunshine Coast/Sea to Sky Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Wallgate Holdings Inc.,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
White Rock/South Surrey Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
